Year AD,Year BS,Purpose of Visit,No. of Tourists
2011,2068,Pilgrimage,"63,783"
2011,2068,Official,"24,054"
2011,2068,Conv./ Conf. ,"10,836"
2011,2068,Others,"37,311"
2011,2068,Not Specified ,"70,391"
2012,2069,Holiday Pleasure,"379,627"
2012,2069,Trekking & Mountaineering,"105,015"
2012,2069,Business,"24,785"
2012,2069,Pilgrimage,"109,854"
2012,2069,Official,"30,460"
2012,2069,Conv./ Conf. ,"13,646"
2012,2069,Others,"48,540"
2012,2069,Not Specified ,"91,165"
2013,2070,Holiday Pleasure,"437,891"
2013,2070,Trekking & Mountaineering,"97,309"
2013,2070,Business,"30,309"
2013,2070,Pilgrimage,"40,678"
2013,2070,Official,"39,881"
2013,2070,Conv./ Conf. ,"15,952"
2013,2070,Others,"62,214"
2013,2070,Not Specified ,"73,381"
2014,2071,Holiday Pleasure,"395,849"
2014,2071,Trekking & Mountaineering,"97,185"
2014,2071,Business,"24,494"
2014,2071,Pilgrimage,"98,765"
2014,2071,Official,"32,395"
2014,2071,Conv./ Conf. ,"13,432"
2014,2071,Others,"53,728"
2014,2071,Not Specified ,"74,271"
2015,2072,Holiday Pleasure,"3,86,065 "
2015,2072,Trekking & Mountaineering,"9,162"
2015,2072,Business,"20,876"
2015,2072,Pilgrimage,"14,996"
2015,2072,Official,"21,479"
2015,2072,Conv./ Conf. ,"9,038"
2015,2072,Others,7735
2015,2072,Not Specified ,N/A
2016,2073,Holiday Pleasure,"489,451"
2016,2073,Trekking & Mountaineering,"66,490"
2016,2073,Business,"24,322"
2016,2073,Pilgrimage,"82,830"
2016,2073,Official,"21,310"
2016,2073,Conv./ Conf. ,"12,801"
2016,2073,Others,"55,797"
2016,2073,Not Specified ,N/A
2017,2074,Holiday Pleasure,"658,153"
2017,2074,Trekking & Mountaineering,"75,217"
2017,2074,Business,N/A
2017,2074,Pilgrimage,"141,033"
2017,2074,Official,N/A
2017,2074,Conv./ Conf. ,N/A
2017,2074,Others,65815
2017,2074,Not Specified ,N/A
